,l,Reflection,Reflection Coadd,Scattering,Scattering Coadd
0,10.0,8.427867728791863e-05,7.643304194874322e-05,3.296811450270113e-05,3.0495604985171018e-05
1,30.0,5.775931910688183e-05,2.295828970347364e-05,5.234172199462463e-06,4.7087105919326175e-06
2,50.0,4.005355259807011e-05,9.41859783088306e-06,2.1067280335332018e-06,1.9030839598266501e-06
3,70.0,2.953007791327577e-05,5.195630812433031e-06,1.2268388029169572e-06,1.1163133596802419e-06
4,90.0,2.398732712507067e-05,3.2040517835009997e-06,8.659558289707885e-07,7.87370293281162e-07
5,110.0,1.9831871319955986e-05,2.2256446125411663e-06,6.279764122830047e-07,5.631296908175617e-07
6,130.0,1.639628011259562e-05,1.7112288893779708e-06,5.147195892409593e-07,4.496363216441543e-07
7,150.0,1.3769339339797867e-05,1.3460540794012974e-06,4.118314088422905e-07,3.592353471533041e-07
8,170.0,1.2135018420657162e-05,1.1723510616153224e-06,3.5162932349422425e-07,3.0061316337602845e-07
9,190.0,1.1132530798239136e-05,9.908699784670212e-07,3.01522762290479e-07,2.5402227046565686e-07
10,210.0,9.601000115390804e-06,9.029333330139522e-07,2.6778760565777364e-07,2.202689743950434e-07
11,230.0,9.076435704214338e-06,7.530517469551497e-07,2.388953272495911e-07,1.9205377423139072e-07
12,250.0,8.370543170789506e-06,6.722201209569661e-07,2.229945874969078e-07,1.7206203269480067e-07
13,270.0,7.626561207784367e-06,6.072912667785971e-07,2.038453922176839e-07,1.4967439956149413e-07
14,290.0,7.240452490711571e-06,5.324635760256241e-07,1.907779770198032e-07,1.38343805223441e-07
15,310.0,6.505714893971625e-06,4.950140939860268e-07,1.7976478777218717e-07,1.2429084380436435e-07
16,330.0,5.814259688224174e-06,4.3516726081881114e-07,1.6881047366819193e-07,1.1164090100344173e-07
17,350.0,5.371719161631447e-06,4.107852951959867e-07,1.6460309170183024e-07,1.0748484726087604e-07
18,370.0,4.9096935052966795e-06,3.600938939589007e-07,1.5604776220531846e-07,9.388574059483325e-08
19,390.0,4.403895649250256e-06,3.5229096174030487e-07,1.5504235097834306e-07,9.297567218727861e-08
